obs_index,t_plus_1,pop_num,phor_type,R,mu,mu_intercept,mu_adult,mu_flower,frac_intercept,frac_adult,frac_flower
120,12,275,occ,0,0.6513090825975032,0.2327550322753508,0.2557966069642393,0.16275744350737573,0.35736494161434723,0.3927422690684582,0.24989278954667485
121,3,904,occ,0,0.7913578072500017,0.2327550322753508,0.21428984609693222,0.34431292903287325,0.29412110443970135,0.2707875554315911,0.43509134032476876
122,4,904,occ,1,0.9372139457399964,0.2327550322753508,0.30613228256184566,0.39832663096590876,0.24834781143976076,0.32664076751454296,0.42501142111303286
123,5,904,occ,1,1.1621007503487513,0.2327550322753508,0.30613228256184566,0.6232134356775657,0.20028816968365268,0.2634300704736436,0.5362817599855578
124,6,904,occ,1,1.141043687280001,0.2327550322753508,0.30613228256184566,0.6021563727168309,0.20398433019702164,0.26829146506353163,0.5277242049796009
125,7,904,occ,0,0.9765920444312507,0.2327550322753508,0.32291679627721886,0.42092021587138617,0.23833394261459817,0.33065679586329183,0.4310092615146403
126,8,904,occ,0,0.9548190745262564,0.2327550322753508,0.33470426192269825,0.38735978015790684,0.243768729055643,0.3505420773969826,0.4056891933690155
127,9,904,occ,0,0.9255257642950023,0.2327550322753508,0.3553421771591472,0.33742855489491613,0.2514841198965936,0.3839354784788955,0.3645804016616917
128,10,904,occ,0,0.7784751946462475,0.2327550322753508,0.3360591394386366,0.2096610230367129,0.2989883735230879,0.4316889500780402,0.26932267653304803
129,11,904,occ,0,0.7150622113150004,0.2327550322753508,0.32450076980728115,0.15780640936683454,0.3255031920192146,0.4538077452177536,0.22068906295107996
130,12,904,occ,0,0.7024331441724994,0.2327550322753508,0.2725632550972548,0.19711485661096714,0.3313554239379573,0.3880273266694266,0.2806172491236559
131,3,905,occ,0,0.8609332371137519,0.2327550322753508,0.3108965654645383,0.31728163925852954,0.2703520113309294,0.3611157660805477,0.36853222245455985
132,4,905,occ,1,0.9259465437112482,0.2327550322753508,0.425857575205859,0.2673339361449273,0.25136983755288395,0.45991594017835713,0.28871422217684095
133,5,905,occ,3,1.1038398361287514,0.2327550322753508,0.4517216345536307,0.41936316940953716,0.2108594242183178,0.4092275163196249,0.37991305956149857
134,6,905,occ,15,1.0921935875237507,0.2327550322753508,0.45942660286225895,0.400011952631094,0.21310785462773038,0.4206457610723413,0.3662463845242045
135,7,905,occ,0,0.9679651141737503,0.2327550322753508,0.45851205228315023,0.2766980296681731,0.24045807939476127,0.47368654672491334,0.28585537393500077
